ACTIVE,ROA,ROE,ASSET,STNAME,BKCLASS
0,0.9322288707927316,9.74,1072851.0,North Carolina,NM
1,0.4788706067225639,0.0,646647.0,Pennsylvania,NM
1,1.299088074528585,15.03,1178273.0,Ohio,SM
0,-1.1781942312937437,-9.87,827225.0,Pennsylvania,SI
0,0.0479103050645898,0.41,455318.0,Kentucky,NM
0,1.6395300367889074,13.81,3288137.0,Nevada,NM
0,0.1509557798014603,1.67,63252.0,Missouri,NM
1,0.4539885387913803,6.82,312780.0,New Jersey,SL
1,0.6866788228512375,7.35,1072693.0,Wisconsin,NM
1,0.404076524226712,7.12,116149.0,West Virginia,N
1,0.3823547292000627,3.74,65973.0,South Dakota,NM
1,0.2157688751062498,4.1,321878.0,Illinois,NM
0,-0.1124497991967871,-1.63,123585.0,California,NM
1,1.4135818711126094,13.88,643039.0,Colorado,NM
0,0.0131356032104761,0.12,200387.0,New Jersey,N
0,0.5090555323024022,3.35,29088.0,Texas,NM
1,0.5389784637967019,3.75,25756.0,Oklahoma,SM
1,1.7642064022132269,24.75,999314.0,New Mexico,NM
1,1.366443765741906,18.1,103923.0,Kentucky,SM
0,0.5711474081292028,5.81,51393.0,Nebraska,N
0,0.5739480455003432,4.72,165911.0,New Jersey,NM
0,0.3264460480134775,3.81,220852.0,Missouri,NM
1,-1.2455728594606883,-21.77,504799.0,Michigan,SB
1,0.6078965765291131,1.91,39666.0,Wyoming,SM
1,0.8414320076709371,19.79,557775.0,Kentucky,NM
0,0.2356837599431572,2.34,28028.0,Iowa,NM
1,1.2614137636829017,13.5,446831.0,California,N
1,1.469282492618649,14.87,209237.0,Tennessee,NM
1,1.729453732200993,25.43,712901.0,Florida,N
0,0.106931996441137,1.34,189506.0,Tennessee,NM
0,-3.598650472334683,-60.63,10263.0,Illinois,SM
1,2.0406162778099746,11.35,564564.0,Minnesota,NM
1,1.511837384916474,13.26,1319832.0,Idaho,NM
0,-0.5123902803538783,-5.34,127925.0,Virginia,NM
1,1.2112548150809332,9.37,78611.0,Oklahoma,SM
1,2.3605044795842667,19.98,2638667.0,New Jersey,SM
1,1.4223504962108602,16.18,885366.0,California,N
0,0.704594857956675,15.87,224021.0,Georgia,NM
0,-0.3525974680143727,-10.35,95933.0,Idaho,SM
0,0.3107708532181732,2.17,249861.0,Louisiana,NM
1,1.40528177343021,19.39,106088.0,Texas,NM
1,-0.2950633858033006,-8.91,260739.0,Wisconsin,SI
1,1.6621220568932873,19.39,582079.0,Missouri,NM
1,1.4479641319470271,14.42,163088.0,Kansas,SM
1,1.0254438868090248,11.15,318211.0,Alabama,NM
1,0.4451252241991019,1.66,109038.0,Illinois,SB
0,-2.6480905093621856,-30.72,18720.0,Florida,SB
1,1.2424893755964788,11.97,2626575.0,Illinois,NM
0,0.1421633809074249,1.39,131677.0,Kansas,SB
1,1.7311803007107496,17.38,474280.0,Michigan,NM
1,0.8135777426798947,9.93,1446858.0,Louisiana,NM
1,0.3219709092152357,4.84,2081306.0,Wisconsin,N
1,0.3072974747589935,2.28,173634.0,Iowa,NM
1,0.4094165813715456,8.69,80126.0,Missouri,NM
1,0.8514137125084316,10.05,296731.0,Illinois,NM
0,0.5609772018865153,6.0,49857.0,Kansas,N
0,1.2607730289403336,12.49,321358.0,California,NM
1,1.729623411068104,19.14,430711.0,Iowa,NM
1,0.93660541470525,14.95,1070579.0,North Carolina,SM
0,0.590608727777268,5.3,815554.0,Pennsylvania,SI
1,2.208382975259556,14.21,191255.0,Minnesota,NM
0,0.6461590436846154,6.69,243658.0,Florida,NM
1,0.5062405422379962,6.38,475157.0,Missouri,SM
1,1.973397024863672,20.56,508908.0,Texas,N
1,1.6187550750377695,19.24,263456.0,North Carolina,NM
0,1.8970557719801784,14.19,322996.0,Michigan,SM
0,-1.752364292805462,-15.09,92652.0,Massachusetts,SB
1,0.9876206727950564,22.66,275163.0,Alabama,NM
1,0.7317101181072005,135.06,486368.0,Michigan,N
0,1.142670409497078,10.36,123518.0,Iowa,NM
1,0.3629258078858535,4.36,256748.0,New York,SB
0,0.6376131091869133,6.05,226562.0,Wisconsin,NM
1,1.5661898911855494,15.36,816631.0,Michigan,SM
1,1.5627553033828323,16.43,442525.0,Georgia,NM
1,-0.5108013835205708,-5.3,530037.0,Ohio,SB
1,2.755402339254934,26.69,296748.0,Texas,NM
1,0.7883033679361391,8.51,621957.0,Oklahoma,NM
1,0.0089476851220128,0.1,96955.0,Wisconsin,SI
1,0.5723995478229674,8.98,1136431.0,New York,SM
0,-0.5559526531710269,-4.93,28801.0,Illinois,NM
1,1.4113533774920994,11.62,1315763.0,Arkansas,SM
1,2.0997980597231227,23.86,180752.0,New Mexico,NM
0,1.4693627258290254,13.54,170750.0,Georgia,N
1,0.8961856356998508,8.6,366140.0,Wisconsin,NM
0,0.5412049432592353,3.59,52410.0,Kentucky,NM
1,0.1855186123988923,1.57,206411.0,Minnesota,NM
1,1.3969099005332026,6.14,1294984.0,New York,NM
1,1.222789391238589,11.58,147820.0,Illinois,NM
1,0.9624038105218292,13.39,298165.0,Tennessee,NM
1,-6.004599267524061,-73.93,18998.0,Colorado,NM
1,1.68227861628098,24.66,256171.0,Texas,NM
0,0.726502427181376,3.62,393526.0,Ohio,NM
0,1.025967978001508,10.11,924303.0,Indiana,SM
1,0.6120518354424362,8.57,574437.0,Texas,NM
0,0.104581441829478,0.74,51224.0,Pennsylvania,SB
1,1.9484625545702796,18.32,581600.0,North Dakota,NM
1,1.0937759266377234,11.78,579470.0,Kansas,NM
1,2.2098877049655106,21.39,80614.0,Wisconsin,NM
0,0.8707105842423598,7.48,86574.0,Missouri,NM
1,2.150321809367101,20.0,470364.0,Kansas,NM
1,0.2347511247431501,3.9,1097028.0,Connecticut,SI
1,0.9874508638506532,12.94,156356.0,Michigan,NM
1,0.1976438535014829,3.79,302806.0,Massachusetts,SM
1,0.6539936382025601,5.45,1710496.0,Maine,SI
0,1.0738211435508092,7.01,553831.0,Pennsylvania,SI
0,-0.0225633805359254,-0.24,22282.0,Texas,NM
1,1.4539445773143564,11.25,1916497.0,New Jersey,NM
1,3.4261000316304293,24.91,117669.0,Louisiana,NM
1,1.1683192809225116,10.68,451872.0,Florida,N
1,1.4825798849471403,13.16,750636.0,South Carolina,NM
1,4.210576076950896,33.76,4550713.0,Oklahoma,SM
1,0.7183493927287078,4.35,44045.0,Oklahoma,NM
1,1.636018757574161,15.78,382547.0,Iowa,NM
0,-1.0864804299407844,-13.89,283664.0,North Carolina,NM
0,-6.8238612754651164,-69.25,168915.0,Michigan,NM
0,1.1205871614600391,7.2,70043.0,Iowa,NM
1,1.0071080185773975,10.57,239133.0,Idaho,NM
1,0.8456620837040365,9.26,647968.0,Illinois,N
1,0.7768376815778572,7.68,369472.0,Wisconsin,NM
0,1.9765305065682308,18.89,1320696.0,Michigan,NM
1,-0.1709435687451549,-1.44,54489.0,Tennessee,SM
0,0.9913194698978331,9.37,303893.0,Utah,NM
1,0.763341352555972,6.71,604507.0,Kansas,NM
0,1.2718915277138234,10.26,2542126.0,Oregon,NM
1,0.7183757990087725,8.52,500602.0,Ohio,SM
1,0.157383193485341,2.34,977289.0,Alabama,SM
1,0.1203950501790805,0.0,1324474.0,Texas,NM
1,0.3891858824818417,4.67,4056256.0,South Carolina,NM
1,3.520590048617131,9.24,93422.0,Ohio,NM
0,-2.05821817112614,-141.18,20330.0,Oregon,SB
0,-0.0858278363023348,-28.84,317288.0,Georgia,NM
0,1.086373488215175,9.86,134752.0,Ohio,NM
1,1.16356618010944,7.28,345744.0,Maryland,SB
1,0.8224634606702993,6.94,1109185.0,Texas,N
1,1.0004363057417522,12.92,915258.0,Texas,N
1,0.2289835160853673,15.7,68548.0,Kansas,NM
0,0.2615810012581477,2.52,209428.0,Minnesota,NM
1,-1.4365418658933506,-10.49,958078.0,Wisconsin,SB
1,1.2523756113025188,17.8,261426.0,Minnesota,NM
0,0.3368902216966923,2.16,108021.0,Oklahoma,NM
0,0.1157205586291076,1.22,122802.0,North Carolina,NM
0,1.315038875231269,9.98,22460247.0,Michigan,SM
1,6.105254070005866,109.21,870647.0,Utah,NM
0,1.000496361711016,7.42,261776.0,Michigan,NM
